,url,q3,News Outlet,BiasTowards,headline,content
0,http://www.breitbart.com/Big-Journalism/2013/06/05/Politico-Coordinates-with-democrats-attacks-Victims-of-IRS,Opinion,Breitbart,Republican,Politico Coordinates with Democrats; Attacks Victims of IRS,"
When the trifecta of scandals first broke over the White House a few weeks ago, the media (who were literally blocking the truth from getting out about the IRS and Benghazi) were so caught off guard that for a couple of weeks they accidentally acted like real media and just reported the facts. Over Memorial Day weekend that all changed. 
It is fairly obvious that the media used the three-day weekend to gather themselves, talk to the White House, and coordinate talking points with one another. The result of this coordination has been apparent in the words “overreach,” “McCarthyism,” “disarray,” and “no GOP agenda” — all being uttered simultaneously across media platforms that are supposed to compete, not coordinate, with one another. 
The idea is for the media to revert to form. Rather than seek the truth, the media will go back to attacking those seeking the truth. Obama’s approval rating is going down, his left-wing agenda and legacy are in jeopardy, and the bleeding must be stopped. 
Another piece of coordination between media and Democrats reared its ugly head today in the most expected of places: Politico. No one takes more glee in savaging private citizens who dare not support Obama than Obama’s bullying thugs at Politico. 
During Tuesday’s testimony, Congressional Democrats attacked the private citizens brought before them to tell their individual horror stories. The witnesses were Tea Party groups and other conservative groups put through months of paralyzing harassment by an IRS that had intentionally singled them out based on their political beliefs. 
Democrats, however, did not care about the fact that these groups had been targeted, and they kept insinuating that these groups deserved the IRS scrutiny due to their political activity.  
Well, that is not the point and everyone knows it. Had the IRS put the same number of left-leaning groups through the same hyper-scrutiny as they did right-leaning groups, none of this would be happening. There would be no scandal.
But the idea here is to change the subject from the fact that the IRS singled out Obama’s political foes for paralyzing scrutiny in the run-up to Obama’s re-election campaign, to the supposed abuse of a tax exempt status by conservative political groups.  
The thinking goes that if Democrats can make the Tea Party look like tax cheats it will take the heat off of Obama and further damage his opponents. 
Well, right on cue, Politico arrives this morning like the cavalry with an appallingly dishonest (but expected) piece of reporting that falls right in line with what Congressional Democrats did yesterday. It is as pure a piece of coordination and left-wing propaganda as you will ever read. 
And this is the only kind of investigative reporting Politico ever does. Imagine if Politico poured these same resources into investigating the IRS’s connections to the White House or the shaping of the IRS talking points by the State Department. 
But today’s Politico piece is all about changing the subject. All it looks at is the political activity of yesterday’s Tea Party witnesses in order to make a case that they deserved scrutiny from the IRS. 
The Politico piece, however, intentionally ignores the fact that this is not the point of the scandal. The point is that these groups were singled out for harassment by their own government. 
The Politico piece intentionally ignores and chooses not to report on all the political activity of tax-exempt left-leaning groups (like Obama’s Organizing for America) — groups approved by the IRS, that are every bit as political as those on the right who were paralyzed by lengthy and intrusive questionnaires and  threats of perjury-those who had their information leaked to the media. 
Working directly with the Democrats, Politico is now putting in overtime to desperately steer subject away from and distract from partisan horrors committed by the IRS. 
The actual crime is no longer the story, according to Politico. No, the story is that the victims had it coming. 
 
Follow John Nolte on Twitter @NolteNC        "
1,http://www.breitbart.com/Big-Government/2013/06/29/DOJ-Defunds-Youth-Programs-that-Reference-God,News,Breitbart,Republican,DOJ Defunds Youth Programs that Reference God,"

The Department of Justice has summarily removed federal funding from two Louisiana youth programs because a local official refused to sign a pledge stating he would require the programs to ban mentions of God.
Julian Whittington, the sheriff of Bossier Parish, LA, told Fox News that Obama’s Justice Office of Civil Rights de-funded the Young Marines chapter and another youth program over mentions of religion. In the case of the Young Marine program, chartered in 1965, the funding was cut off because the group features an oath that mentions “God.” In the other case, it was because a program for at-risk youth featured a voluntary, student-led prayer session as one of its activities.
Sheriff Whittington says that the DOJ withdrew a combined $30,000 from the programs because the groups refused to remove God from their activities. The sheriff said this was evidence of the government’s “aggression and infringement of our religious freedoms.”
Whittington told Fox, “We were informed that these are unacceptable, inherently religious activities and the Department of Justice would not be able to fund the programs if it continued. They wanted a letter from me stating that I would no longer have voluntary prayer and I would also have to remove ‘God’ from the Young Marine’s oath.”
The oath from the Young Marine organization reads:
From this day forward, I sincerely promise, I will set an example for all other youth to follow and I shall never do anything that would bring disgrace or dishonor upon God, my Country and its flag, my parents, myself or the Young Marines. These I will honor and respect in a manner that will reflect credit upon them and myself. Semper Fidelis
Both the U.S. Army enlistment oath and its commissioning oath end with “so help me God.”
As to the at-risk youth program, Whittington said,”We’re not promoting any specific religion, this is just voluntary prayer, mention of God, how offensive and bad can that be?”
In response to the DOJ’s message insisting that he sign the anti-God pledge, Sheriff Whittington sent a letter of his own to LA Governor Bobby Jindal.
“As a Christian, Sheriff and American citizen, I am writing to express my frustration and concern over the persistent aggression and infringement of our religious freedoms which have been imposed upon the law enforcement grant programs, specifically related to the Louisiana Commission on Law Enforcement,” wrote the Sheriff.
In cutting off the funding, the DOJ claimed it was a violation of Church and State rules for the government to fund any group that mentions God.
Fox’s Todd Starnes says that, “Both youth programs have been hailed as a successful way to reach at-risk young people. Since 2002 more than 1,000 young people have graduated from the program, directed by a Bossier Parish deputy who is a former U.S. Marine.”
Like Sheriff Whittington, Rep. John Fleming (R-LA) was troubled by the DOJ’s actions.
“There is a very wide effort coming out of the administration that seeks to stamp out freedom of expressions – particularly religion and especially freedom of Christian expression,” Fleming said. “They are willing to throw the youth overboard and remove the funding just in the name of making this an atheist, agnostic, secular organization.”
“They (DOJ) don’t want anything to have any sort of religious support – even down to prayer,” Fleming said. “It’s sad and it’s inconsistent with the intentions of the framers of the Constitution.”
Sheriff Whittington is not taking this lying down. “When something is not right and you know it’s not right and you keep bowing down, nothing is ever going to change,” he said."
2,http://www.dailykos.com/story/2013/08/07/1229633/-Racists-Go-Wild-Outside-Obama-Speech-in-Arizona,Opinion,Dailykos,Democrat,Racists Go Wild Outside Obama Speech in Arizona ,"

Most here saw the Tea Party assholes for what they were long ago.  Well, they showed up without their Klan hoods to show themselves to the world at President Obama's speech in Arizona:
Obama foes at one point sang, ""Bye Bye Black Sheep,"" a derogatory reference to the president's skin color, while protesters like Deanne Bartram raised a sign saying, ""Impeach the Half-White Muslim!""
Many on both sides wore red, white and blue and carried small flags.
ship
“He needs to go back to where he came from because obviously, he is a liar,” she said. “I am not racist. I am part Indian. Obama’s half Black, half White.”
“He’s 47 percent Negro,” shouted Ron Enderle, a 77-year-old Chandler resident who said that he and his son served as Marines and his grandson is currently serving in the Marines.
snip
“We have gone back so many years,” she said. “He’s divided all the races. I hate him for that.”

Arizona Republic
This is today's Republicans.  Bunch of fucking ignorant bigots.  
I'm proud to have voted for Barack Obama.
Update I:  Went to a baseball game right after I wrote this (Unfortunately the Dodgers are kicking the Cards asses tonight).  Arizona Blue had sent me some links to other diaries on this several hours ago.  Here they are for your reading pleasure:
Hundreds Protest President Obama in Phoenix and it wasn't pretty
RWNJs So Stupid They Screwed Up Own Anti-President Obama Racist Chants; Blame Him For Their Racism
 
"
3,http://www.dailykos.com/story/2013/01/26/1182240/-an-Obama-voter-as-3-5-of-a-person,News,Dailykos,Democrat,an Obama voter as 3/5 of a person,"

3/5 of a person. That should be familiar.  It is how slaves were counted for purposes of representation (and taxation) in the U. S. House in the original Constitution:
Representatives and direct Taxes shall be apportioned among the several States which may be included within this Union, according to their respective Numbers, which shall be determined by adding to the whole Number of free Persons, including those bound to Service for a Term of Years, and excluding Indians not taxed, three fifths of all other Persons.
And as one could read about the proposal in Virginia to change how the state awards its electoral votes, in A Message To The Virginia GOP From A Plantation<?a>, a blog post by Paul Bibeau earlier this week,  
This plan counts the votes of Obama supporters, or Democrats, or ""urban people"" - Have I used the right code words here? Do we know who we're talking about? - less than other Virginians.
But you need to do the actual math. No one on your side - at least I hope no one on your side - has crunched the numbers. Last election, Barack Obama won 51.16% of the vote. Under the new bill he would have won four of the states 13 electoral votes.
And do you know how much it counts an Obama voter as? (It's 4/13 divided by 51.16%. I'll wait. Do it. Get a calculator. You'll crap yourself.)
IT IS ALMOST EXACTLY THREE FIFTHS.
This bill counts an Obama voter as 3/5 of a person. I don't know if that fraction rings a bell with you. It was kind of a big deal, way back when. Women in fancy dresses, guys in gray - a lot of gray was in style. Is the light coming on now?

H/T to Charles M. Blow, who references the Bilbeau post in his NY Times column today, titled Rig the Vote, which is worth reading  ....
and please continue below the fold for just a few words more.


Blow's final two paragraphs, which come immediately after referencing Bibeau, read as follows:
That is because, as Talking Points Memo says, “Obama voters would have received almost exactly 3/5 of the electoral vote compared to their actual population — 30.7 percent of the electoral vote over 51 percent of the popular vote.”
This is not where we should be in 2013, debating whether to pass bills to reduce urban voters to a fraction of the value of other voters and hoping that someone with the power to stop it thinks it’s a “bad idea.”

The bill will not become law in Virginia. A key Republican state senator opposes it, so it might not even get out of committee in the state senate;  the  Lt. Gov opposes it, and since he has already said he will not break 20-20 ties that are strictly partisan (and the senate is split 20-20 between the two parties) even if it reached the floor he seems committed to killing it; and the Governor opposes it, so even were it to reach his desk he seems committed to vetoing it.
It is worth noting that unlike the two states that now distribute electoral votes by Congressional district (Maine which has never split, and Nebraska which in 2008 gave on e EV to OBama) and as far as I know ALL other current proposals, rather than giving the two EV votes equivalent to the two senators to the candidate winning the statewide total, the Virginia proposal would award the final two EVS to the candidate winning the majority of the Congressional districts, not the majority of the state's votes.  Those districts were heavily gerrymandered, because in 2008 the Dems had won 6 of the state's electoral votes, and even though Glenn Nye and Tom Perriello and Rick Boucher were defeated in 2010, the Republicans were taking no chances and redrew the CDs to make them more Republican friendly.  Obama actually won one CD represented by a Republican.
The proposal came from a state senator whose intention seems racist - he wants rural (for which you can read ""white"") voters not to be outvoted by urban (for which you can read ""black"" and to a lesser degree ""Hispanic"") voters.
It will not go anywhere.
It is ironic that the vote distribution turned out to so closely match the ratio of the 3/5 Compromise.
But then, part of the pushback against Obama has from the beginning been because he was Black.
Odd that the ratio would now increasingly include young people and women as well as people of color.
Again, it won't happen in Virginia.
It seems like the parallel in Florida is also dead, because the Republican heads of the two chambers of the state legislature are opposed to splitting the electoral vote.
But let's be clear -  the intent of such proposal is not merely to steal states for Republicans that they might not otherwise win, it is to diminish the value of the votes of minorities and expand the power of angry old white men.
Like the attempts this past cycle at voter suppression through voter-id laws and limiting access to early voting, this will produce a backlash.
Perhaps those pushing such proposals really do want to make Obama voters count for only 3/5.
In the process what they might be demonstrating is that they themselves have only 3/5 the intelligence and moral character of those whose votes they seek to diminish.
"
4,http://www.dailykos.com/story/2013/08/13/1230932/-Texas-Defends-Voting-Laws-We-Don-t-Want-Democrats-To-Vote,Opinion,Dailykos,Democrat,"Texas Defends Voting Laws: ""We Don't Want Democrats To Vote""","








Good luck with that, Texas



Good luck with that, Texas

Oh, Texas.  What to do with you.
So mere hours after the Supreme Court struck down Section 5 of the Voting Rights Act, Texas wasted no more time and re-instituted the same redistricting plan the courts had already ruled as unconstitutional.  The same with their new voter suppression bill.
Attorney General Holder was having none of it, however.  Texas was the first lawsuit to be filed by the Justice Department under Section 2 of the Voting Right Act.  
And now Texas is presenting its defense. It is using two main arguments.
And boy, are they doozies.
Jump below the Chee-to for more:


First, says Attorney General Greg Abbott, the redistricting is not about race.  Oh no.  It's about not allowing DEMOCRATS to vote.  White Democrats too.
From their brief:
DOJ’s accusations of racial discrimination are baseless. In 2011, both houses of the Texas Legislature were controlled by large Republican majorities, and their redistricting decisions were designed to increase the Republican Party’s electoral prospects at the expense of the Democrats....The redistricting decisions of which DOJ complains were motivated by partisan rather than racial considerations, and the plaintiffs and DOJ have zero evidence to prove the contrary. It is perfectly constitutional for a Republican-controlled legislature to make partisan districting decisions, even if there are incidental effects on minority voters who support Democratic candidates.
Translation:
""So, basically, we just want to fuck over all Democrats, and if the Black and Brown people are also hurt, well, they shouldn't vote for Democrats, should they?  It's only collateral damage""
You know, having them actually come right out and say it--that they don't want Democrats to vote--is somehow not surprising.  But it's good that they're doing it at last.  
But wait!  There's more. To address the actual accusations of racial bias and discrimination, Texas is using the argument that ""Yeah, there may be an isolated incident or two, but it's NOTHING like it was in 1965"".  
From the article, which says it better than I can:
Furthermore, the state claims, even if Texas did discriminate, and the state stresses that it did not, it was nothing as bad as “the ‘pervasive,’ ‘flagrant,’ ‘widespread,’ and ‘rampant’ discrimination that originally justified preclearance in 1965.” So as long as Texas skies aren’t alight with flames from burning crosses, what’s the big whoop?
So, according to this, Texas is arguing that Section 2, and in fact the entire reasons for preclearance are all based on conditions in 1965.  And that since ""things are better than in 1965"" then Section 2 is null and void.
I think the fact that Texas is second only to Mississippi in Section 2 lawsuits is the basis for this particular argument.  
However, there is a danger here.  Texas is arguing that ONLY conditions that existed in 1965 would justify Federal supervision of the elections process.  Sort of like an ""originalism to the extreme"" argument.  
And that can be dangerous because there are those on the Supreme Court that would like nothing more than the total eradication of the Voting Rights Act.  
Not to mention the 13th 14th and 15th Amendments, but that's another story.
"
5,http://www.dailykos.com/story/2013/06/27/1219322/-Beware-Texas-Democrats-Wisconsin-was-there-once-too,Opinion,Dailykos,Democrat,Beware Texas Democrats. Wisconsin was there once too.,"

So I am overjoyed about what happened in Texas, not the least because it was so unexpected, and so....freaking great. I loved every minute of it, and can't tell you how happy I am to have a new Democratic hero in Wendy Davis.
I want to make this very clear, so people will understand what is in my heart as I write this diary. I watched the breathless news tonight on MSNBC, and I saw Kos's effort to draft MS. Davis to run for governor, and I'm all over it all.
But there was a part of me that felt SO sad too. I remember when Wisconsin's capitol was filled w/that kind of crowd for WEEKS ON END. I remember when Democrats and progressives in Wisconsin filled not only the rotunda of their capitol, but all the real estate they could in every direction OUTSIDE the capitol, for WEEKS ON END.
And most here at the DK, supported the effort, and it was thrilling. Then came the recall, and we lost. I could say why I think this happened, but it doesn't matter. It just did. And since then, despite all those thrilling hopeful days, things have only gotten worse in Wisconsin.
And one of the biggest ways that has happened, is the Wisconsin republican answer to seeing THAT WILL NEVER HAPPEN AGAIN, as long as they're in power. They have made endless laws to make sure of that. And now, what happened in Texas last night, will be very difficult for Wisconsin to match. It's crazy. Possible in Texas, almost impossible in Wisconsin.
Those of us caught up on the new laws and restrictions regarding what is allowable in the state house, and who can be there, and under what conditions, know how fast after the loss of the recall the GOP clamped down on seeing to it that nothing like the anti Walker uprising would happen again on their watch. I could go on for many paragraphs here telling you how specific and restrictive those new laws are. I could roll your socks back as to the totalitarian and successful cap the Wisconsin GOP has put on anything like what happened in Texas yesterday, and what happened in Wisconsin, week after week, at one time not so long ago.
Recently, the Republican Wisconsin legislature voted to pass a law similar to what was at stake in Texas. The ""gallery"" was highly restricted. Women w/tape over their mouths---to signify protest to the new rules of their being there---were told to remove the tape or be arrested. They removed the tape and covered their mouths w/their hands. Some Democrats in the chamber tried to shout their way into their right to be heard.
But in the end, Mike Ellis broke his gavel telling everyone to shut the fuck up, they would NOT be heard. This disgraceful behavior was shown here a bit on video, and God bless her, on Rachel Maddow's show. Other than that, crickets. The nation has left the story of Wisconsin behind. We tried, we lost, and journalism is not about losers.
I CHEER what happened in Texas yesterday with all my heart. BUT, beware of the media story on your side today. Because it can be gone tomorrow. And don't underestimate the response of republicans when they have been so challenged. I'll bet you the little money I have in the bank, that Texas too will soon have a bunch of laws that make it impossible for what happened yesterday to happen again. The only reason they aren't there now in Texas, is because what happened surprised the hell out of them. Don't doubt for a minute that they're gathered in back rooms as I write this, figuring out to make sure it never happens to them again.
I cheer every minute of attention Texas gets w/this, and I cheer Wendy Davis. I don't want it to go away. But I know it will. My message here is not about cynicism, or about ""don't bother."" IT. IS. NOT.
My message is that we are on the brink of so much in this country, and we have to find a way to stop letting them get away with this. And that means in Wisconsin too, no matter how gerrymandered it is. I frankly don't know how to do this. But I do know the answer is NOT to bow out from the fight in a heap of disappointment and anger. And I don't for a minute suggest that's what Wisconsin Democrats are doing. BUT, everything is so much harder for them now.
Wisconsin must find a way to rise again, and Texas must find a way to hold on to this win. And part of that is seeing what's coming. And I'm telling you what's coming in Texas. Somehow, some way, we must stop this. And that means we have to decide our priorities as Democrats. And there in lies the rub. And I have no answer for it.
"
6,http://www.dailykos.com/story/2013/09/05/1236356/-TX-State-Sen-Wendy-Davis-Wins-Lawsuit-Against-Racist-GOP-Redistricting-Plan,News,Dailykos,Democrat,TX State Sen. Wendy Davis Wins Lawsuit Against Racist GOP Redistricting Plan ,"

From Lone Star Project:
Earlier today (Wednesday), the three-judge Federal District Court in San Antonio handling the Texas redistricting litigation entered a final judgment in the Texas State Senate redistricting law suit.  In its ruling, the Court made clear that Wendy Davis and her fellow plaintiffs in the case won and Greg Abbott, representing the Republican state leadership, lost.
...
Greg Abbott served as the primary legal counsel to the State of Texas during the consideration of redistricting by the Legislature and defended the State’s redistricting plans in federal court. His efforts in redistricting have been nothing short of an embarrassing debacle.
Abbott advised the Legislature to configure and adopt redistricting plans that the federal courts ruled to be in violation of the US Voting Rights Act. Two of the three redistricting plans were ruled to be drawn with discriminatory intent. Abbott has spent millions of dollars in Texas taxpayer funds to unsuccessfully defend redistricting plans that were unfair and illegal. Abbott’s actions go beyond partisanship to illustrate profound incompetence and open hostility to Hispanics, African Americans and other fair-minded Texans.

http://lonestarproject.net/...


Here is the entire court order:
WENDY DAVIS; MARC VEASEY; ROY BROOKS; VICKY BARGAS; PAT PANGBURN; FRANCES DELEON; DOROTHY DEBOSE; and SARAH JOYNER
Plaintiffs
 v.
RICK PERRY, in his official capacity as Governor of the State of Texas;
JOHN STEEN, in his official capacity as Secretary of State of the State of Texas;
BOYD RICHIE, in his official capacity as Chair of the Texas Democratic Party;
and STEVE MUNISTERI, in his official capacity as Chair of the Republican Party of Texas.
Defendants
FINAL JUDGMENT
This Court previously ORDERED, ADJUDGED and DECREED:
that Plaintiffs’ request for declaratory relief was granted to the extent that Senate plan S100, the benchmark plan, violates the one-person, one-vote requirements of the Equal Protection Clause of the Fourteenth Amendment to the United States Constitution and will not be used for any further elections;
that Plaintiffs’ request for injunctive relief was granted such that Senate plan S148, the 2011 enacted plan, has been permanently enjoined from implementation and no elections have been or will be held thereunder; and
that Plan S172, which was reviewed under the standard set forth in Perry v. Perez and restored district 10 to near benchmark configuration and remedied the constitutional infirmities being asserted by Plaintiffs, was to be used for the 2012 election.
It is further ORDERED, ADJUDGED and DECREED:
that because (1) Plan S148 has been repealed, (2) Plaintiffs agree that Plan S172 does not violate the Voting Rights Act or the Constitution, and (3) Plaintiffs do not seek any further relief with regard to Plan S148, Plaintiffs’ remaining claims under § 2 of the Voting Rights Act and the Constitution are DISMISSED AS MOOT; and
that, as prevailing parties, Plaintiffs are awarded their reasonable attorneys’ fees and costs.
Pursuant to Fed.R.Civ.P. 54(d)(2) and W.D. Tex. Rule CV-7(j), Plaintiffs may file their applications for attorneys’ fees and costs no later than twenty days after entry of judgment. If the application is opposed in whole or in part, a response in opposition shall be filed no later than ten days after the filing of the application.
SIGNED AND ENTERED this 4th day of September, 2013.

http://lonestarproject.net/...
It sounds like Goposaur Abbott was trying to implement the discriminatory redistricting plan DESPITE it's already having been ruled illegal. That should be a crime in and of itself. Disgusting.
Sen. Davis, who heroically filibustered Texas' draconian abortion bill back in June, is looking more and more like a viable candidate for Texas governor. If I lived there, she would have my vote.
___
P.S. Condolences to Sen. Wendy Davis, whose father passed away this morning.
http://www.wfaa.com/...
"
7,http://www.dailykos.com/story/2013/08/16/1231647/--It-s-just-disgusting-San-Antonio-councilwoman-s-appalling-anti-gay-rant-caught-on-tape,News,Dailykos,Democrat,"""It's just disgusting"": San Antonio councilwoman's appalling anti-gay rant caught on tape","

A proposed non-discrimination ordinance in San Antonio barring discrimination against LGBT people has been a source of considerable controversy as of late. Right-wing individuals and groups have predictably smeared the proposal and tried to whip up fear and make it out to be ""anti-religion."" And now, the plot thickens, as Republican Councilwoman Elisa Chan has been outed by a former staffer as an outright homophobe.
James Stevens, who served as an aide to Chan, has resigned this week, but he's going out with a bang. Unbeknownst to Chan and the other staffers, he had recorded a private meeting from May 21 about the ordinance on his iPhone. What the recording reveals, other than the fact that Chan is an idiot and had some idiots working for her, is a rather appalling anti-gay conversation between Chan and her staffers. During the course of the conversation, one of her staffers brings up incest and bestiality and Chan herself calls homosexuality disgusting and says that gay people should not be allowed to adopt. Some pretty extreme homophobia on display.


I'm going to embed the 15-minute recording below, which you should listen to if you have the stomach. But here are some of Chan's ""gems"" extracted by the San Antonio Express-News:
By the way, this is politically incorrect. I don’t think homosexual people should do adoption. They should be banned by adoption. You’re going to confuse those kids. They should be banned.
If you wanted to choose that lifestyle, we don’t want to discriminate you, but you shouldn’t affect the young people. How terrible. … They’re going to be confused. You see two men go into a bedroom. You see two women kissing. Is that not confusing? It’s confusing.
It is actually, what you call, suggestive, for the kids to be corrupt, which is against nature. I’m telling you, anything that is against nature is not right.
You know, to be quite honest, I know this is not politically correct. I never bought in that you are born, that you are born gay. I can’t imagine it.
When I say that it’s … behavioral preference, they say that, ""No, you’re born with it."" But I never bought into that.
I think it’s just disgusting just to even think about.
Perhaps even more interesting is how far she's willing to go to cover up her obviously antiquated views from the public.
In strategizing on how to oppose the anti-discrimination ordinance, Chan decided to have her staff draft an op-ed to appear in a local paper.
“Can you guys come up with a draft?” she asks her aides. “Come up with draft with all the good, those arguments we talk as a speaking point, in terms of we’re addressing an issue that is not an issue. This is national politics again at the council level.
“This is another layer of bureaucracy, that we have not heard any discrimination,” she continues. “And then add in the family value in there. … Maybe I’ll use the industries, that we have a trend, that is, maybe I’ll use we have water rates and CPS rates to worry about.”
“Maybe what we can do, can we maybe throw some questionable confusions like, OK, this ‘transgender,’ because the definition is so broad…”

Listen to the horrifying recording yourself:









Chan's then-chief of policy Jeff Bazan is the one on the recording who warns that we're on a slippery slope toward incest and bestiality (how original, right?) and tells Chan to be a ""culture warrior"" on the issue. Well, he's now working for pro-gay Democrat Ron Nirenberg, who was just elected to the City Council, as his chief of staff. Can somebody say awkward? Bazan released the following statement yesterday:
I was basically explaining the viewpoint that some people have on the gay marriage issue. What I said was wrong and I deeply regret it. I can say that those comments, which were intended to be purely political, do not reflect my heart. Councilman Nirenberg, whom I currently serve and support, has made it clear that discrimination is not negotiable, and I am proud to work for him.
Right.
As for Chan, she acted as if she didn't know Stevens at first when confronted about the recording. Then she had this to say:
I think that's in a private setting and I don't know if that's — I need to hear that recording to know. I'm not quite sure what you're talking about so maybe you can play that back to me. We talk a lot of things in the staff meetings, so I wanted to know also under what context.
There is apparently a rumor that Chan is planning a run for Mayor in 2015, which she wouldn't confirm or deny. Right. We'll see how that goes for her.
"
8,http://www.dailykos.com/story/2013/11/18/1256489/-Cheney-family-puts-out-statement-distancing-themselves-from-Liz-on-marriage-equality,News,Dailykos,Democrat,"Dick, Lynne Cheney weigh in on marriage equality family feud","








Accomplishment: When your father Dick Cheney has to go on record saying you're a bigger jerk than he is.



Accomplishment: When your father Dick Cheney has to go on record saying you're a bigger jerk than he is.

Looks like there's trouble in the Cheney clan. Liz Cheney is running for something, and in the Republican party running for something means you're against gay marriage, even though her own sister is gay. Her father Dick is not running for anything anymore, which means he has been freed to have a non-scummy opinion on the subject—and really, when noted torture-of-prisoners advocate Dick Cheney is not a gigantic asshole about something, it stands out. So now we get to watch the spectacle of Dick and Lynne Cheney releasing a public statement distancing themselves from their campaigning daughter.
This is an issue we have dealt with privately for many years, and we are pained to see it become public. Since it has, one thing should be clear. Liz has always believed in the traditional definition of marriage. She has also treated her sister and her sister's family with love and respect, exactly as she should have done. Compassion is called for, even when there is disagreement about such a fundamental matter and Liz's many kindnesses shouldn't be used to distort her position.
I like how they preemptively defend Liz from the notion that she's just pretending to be an intolerant ass on the subject. Oh no, dear Republicans, we assure you Liz has always been an intolerant ass about this. For years! She just swallows her bile in front of her sister, most of the time, because family and whatnot.
Put this up as another reason you probably never want to eat dinner with the Cheney family on Thanksgiving. That is probably going to be one, er, interesting evening. (And I hope they're not going to be cooking anyone we know.)
"
9,http://www.dailykos.com/story/2013/04/02/1198684/-The-bigots-not-happy-about-being-called-bigots,Opinion,Dailykos,Democrat,The bigots not happy about being called bigots,"








Bigots.



Bigots.

This is a common refrain in right-wing circles these days:
Scanning national media over the last several days, one sees words such as homophobia, bigotry and xenophobia thrown like confetti by liberals at anyone who dare say that under the federal constitution, states have the right to define marriage. These scare tactics are actually working—Cardinal Timothy Dolan, the archbishop of New York, felt compelled to appear on national TV and explain that Catholic religious belief that marriage is between a man and a woman forever, to create life is not bigotry but a religious teaching. The left's response—not enough. Nothing is enough short of changing religious doctrine to fit the beliefs of the liberal masses.
This is driving the wingers to distraction. Theirs is an entire movement built on the politics of resentment, from the racist Southern Strategy to anti-gay ballot initiatives. Now those roosters are coming home to roost, and the damage inflicted is incalculable.
We liberals always knew modern conservatism was (literally) built on racial resentment, from the day the Republican Party accepted the Dixiecrats with open arms. But that brand is seeping into the broader mainstream. I keep going back to this GOP focus group in Ohio after the 2012 election, where young working-class white voters expressed dissatisfaction with President Barack Obama and the Democrats, but were just vicious in their assessment of the GOP:
None of them expressed great enthusiasm for Obama. But their depiction of Republicans was even more lacerating than the women’s had been. “Racist,” “out of touch” and “hateful” made the list — “and put ‘1950s’ on there too!” one called out.
Remember, those aren't liberals, but the kind of white working-class swing-state voters Republicans need to attract to offset their growing disadvantages with non-Anglo voters. But few want to vote for a racist, hateful, out-of-touch party straight out of the 1950s.
That's why you'll now see the bigots spend half their time arguing that they're not bigots and don't really hate gay people, it's just that they can't tolerate something consenting adults are doing so fuck them and their rights. See? It's not bigotry. It's just intolerance, which is totally different than bigotry!
The mask is off the modern GOP, and all the whining and revisionism can't change the fact that America sees them for the hateful paranoid bigoted xenophobes that they are. And if that hurts their chances at winning elections? It just means that sometimes, there really is justice in this world.
"
